Electric Banana	City Hall	State	On	2/10/1900 6:54 PM
Light Bulb	Old Beaver Dam	State	Off	2/22/1900 4:05 AM
Light Bulb	Bellweather Inn	State	Off	2/12/1900 5:02 PM
Electric Banana	Moe's Mowers	State	On	2/17/1900 10:42 AM
Electric Banana	Simpson's House	State	On	2/10/1900 11:56 AM
Electric Banana	Bellweather Inn	State	Off	2/9/1900 2:45 AM
Electric Banana	Grinch's Grocery	State	Off	2/2/1900 12:58 PM
Light Bulb	Main Street	State	Off	2/23/1900 2:46 AM
Electric Banana	SnagglePus Hotel	State	On	2/18/1900 6:41 AM
Electric Banana	Home Base	State	Off	2/27/1900 4:56 PM
Light Bulb	Elm Street Railroad Crossing	State	On	2/8/1900 4:10 AM
Light Bulb	Main Street	State	On	2/12/1900 3:04 AM
Light Bulb	Plum Ferry Service	State	On	2/21/1900 3:14 PM
Electric Banana	Oscar Jones Home	State	Off	2/27/1900 2:33 AM
Light Bulb	City Hall	State	On	2/4/1900 7:10 PM
Light Bulb	Simpson's Barn	State	On	2/26/1900 11:33 AM
Electric Banana	Grinch's Grocery	State	Off	2/2/1900 10:53 PM
Light Bulb	Oscar Jones Home	State	On	2/18/1900 1:50 PM
Light Bulb	Oscar Jones Home	State	Off	2/7/1900 9:49 AM
Electric Banana	Elm Street Railroad Crossing	State	Off	2/14/1900 8:27 AM
Electric Banana	Main Street	State	On	2/22/1900 6:43 AM
Electric Banana	Moe's Mowers	State	Off	2/9/1900 11:14 PM
Light Bulb	City Hall	State	On	2/9/1900 12:30 AM
Electric Banana	Grinch's Grocery	State	On	2/11/1900 10:57 PM
Electric Banana	City Hall	State	On	2/19/1900 1:04 AM
Electric Banana	Oscar Jones Home	State	On	2/17/1900 7:26 PM
Electric Banana	Remants Of The Day Consignment Shop	State	Off	2/20/1900 11:46 AM
Light Bulb	Oscar Jones Barn	State	Off	2/11/1900 5:04 AM
Electric Banana	City Jail	State	Off	2/22/1900 12:50 AM
Electric Banana	Remants Of The Day Consignment Shop	State	Off	2/14/1900 1:40 PM
Electric Banana	Oscar Jones Barn	State	On	2/15/1900 12:40 AM
Light Bulb	Moe's Mowers	State	On	2/20/1900 1:33 AM
Electric Banana	Bellweather Inn	State	On	2/3/1900 5:34 PM
Electric Banana	Simpson's House	State	On	2/21/1900 10:04 AM
Electric Banana	Simpson's House	State	On	2/16/1900 5:25 AM
Electric Banana	SnagglePus Hotel	State	Off	2/21/1900 5:08 PM
Electric Banana	Bellweather Inn	State	Off	2/19/1900 9:43 AM
Electric Banana	SnagglePus Hotel	State	On	2/17/1900 10:57 PM
Light Bulb	Elm Street Railroad Crossing	State	On	2/21/1900 7:34 AM
Electric Banana	Grinch's Grocery	State	On	2/26/1900 5:29 PM
Light Bulb	City Jail	State	Off	2/21/1900 4:08 PM
Light Bulb	Plum Ferry Service	State	On	2/13/1900 12:18 AM
Electric Banana	Plum Ferry Service	State	Off	2/24/1900 4:27 PM
Light Bulb	Happy Gorilla Pub	State	Off	2/5/1900 12:20 AM
Electric Banana	Old Beaver Dam	State	On	2/27/1900 3:52 AM
Electric Banana	Main Street	State	Off	2/16/1900 10:28 AM
